"name";"groups"
"fnath-administration-board";"admins|gest"
"fnath-administration-function";"admins|gest"
"fnath-membership-end-reason";"admins|gest"
"fnath-number-file";"admins|gest"
"fnath-partner-adherent";"admins|gest"
"fnath-partner-certified-association";"admins|gest"
"fnath-partner-company";"admins|gest"
"fnath-partner-company-all";"admins|gest"
"fnath-partner-groupment";"admins|gest"
"fnath-partner-local-committee";"admins|gest"
"fnath-partner-local-section";"admins|gest"
"fnath-partner-personality";"admins|gest"
"fnath-partner-physical";"admins|gest"
"fnath-partner-physical-all";"admins|gest"
"fnath-social-category";"admins|gest"
"fnath-social-insurance";"admins|gest"
"fnath-social-insurance-contract";"admins|gest"
"fnath-social-insurance-option";"admins|gest"
"fnath-social-protection-company";"admins|gest"
"fnath-volunteering";"admins|gest"
"fnath-volunteering-action";"admins|gest"
"menu-dms";"admins"
"menu-dms";"admins"
"menu-mail";"admins"
"menu-mail";"admins"
"referential-conf";"admins|gest"
"referential-root-contacts";"admins"
"referential-root-partners";"admins"
"referential-root-partners";"admins"
"Referential-root";"admins|gest"
